iter	Passed	Remaining
0	39	39896
1	71	35566
2	108	36173
3	139	34769
4	173	34578
5	207	34316
6	236	33614
7	278	34555
8	309	34041
9	347	34377
10	374	33710
11	409	33686
12	450	34237
13	487	34367
14	531	34898
15	564	34734
16	600	34735
17	632	34495
18	663	34254
19	697	34196
20	737	34366
21	788	35062
22	833	35411
23	868	35315
24	901	35163
25	932	34923
26	962	34687
27	1003	34824
28	1040	34852
29	1076	34817
30	1108	34653
31	1143	34581
32	1175	34448
33	1218	34618
34	1250	34476
35	1283	34378
36	1317	34291
37	1353	34261
38	1382	34056
39	1417	34027
40	1450	33937
41	1483	33834
42	1514	33712
43	1544	33550
44	1567	33255
45	1602	33226
46	1639	33248
47	1688	33488
48	1737	33727
49	1794	34099
50	1862	34651
51	1931	35205
52	1981	35400
53	2030	35563
54	2075	35663
55	2128	35875
56	2170	35903
57	2218	36033
58	2266	36151
59	2321	36376
60	2368	36454
61	2412	36492
62	2453	36495
63	2493	36470
64	2538	36520
65	2586	36601
66	2633	36678
67	2678	36710
68	2721	36720
69	2762	36705
70	2808	36751
71	2839	36595
72	2868	36430
73	2906	36368
74	2949	36378
75	2990	36354
76	3051	36576
77	3084	36464
78	3128	36475
79	3164	36391
80	3200	36315
81	3244	36318
82	3276	36203
83	3310	36101
84	3344	36004
85	3380	35928
86	3414	35827
87	3452	35778
88	3493	35762
89	3530	35701
90	3567	35633
91	3601	35542
92	3633	35432
93	3663	35311
94	3697	35224
95	3730	35129
96	3762	35023
97	3793	34912
98	3824	34802
99	3852	34668
100	3888	34613
101	3922	34535
102	3956	34459
103	3982	34314
104	4011	34193
105	4044	34114
106	4077	34031
107	4130	34111
108	4161	34017
109	4197	33959
110	4229	33872
111	4262	33794
112	4305	33794
113	4345	33770
114	4384	33743
115	4416	33659
116	4453	33607
117	4485	33529
118	4522	33483
119	4566	33484
120	4594	33380
121	4632	33339
122	4665	33262
123	4694	33162
124	4736	33155
125	4779	33155
126	4816	33106
127	4852	33056
128	4885	32984
129	4919	32919
130	4948	32829
131	4987	32799
132	5015	32697
